rank,name,revenues,revenue_percent_change,profits,profits_percent_change,assets,market_value,change_in_rank,employees
224,Oneok,"$16,540.30 ",93.60%,"$1,499.70 ",144.70%,"$23,621.60 ","$31,516 ",127,"2,847"
225,Expeditors Intl. of Washington,"$16,523.50 ",72.40%,"$1,415.50 ",103.30%,"$7,609.90 ","$17,268.80 ",74,"19,070"
226,Advanced Micro Devices,"$16,434 ",68.30%,"$3,162 ",27%,"$12,419 ","$177,936.10 ",83,"15,500"
227,Fiserv,"$16,226 ",9.30%,"$1,334 ",39.20%,"$76,249 ","$66,132.80 ",-22,"44,000"
228,Estée Lauder,"$16,215 ",13.40%,"$2,870 ",319.60%,"$21,971 ","$97,672.10 ",-15,"53,320"
229,Bank of New York Mellon,"$16,158 ",-4.60%,"$3,759 ",3.90%,"$444,438 ","$40,056.70 ",-49,"49,100"
230,Laboratory Corp. of America,"$16,120.90 ",15.30%,"$2,377.30 ",52.80%,"$20,385.40 ","$24,625.80 ",-12,"71,725"
231,Regeneron Pharmaceuticals,"$16,071.70 ",89.10%,"$8,075.30 ",129.90%,"$25,434.80 ","$75,806 ",123,"10,368"
232,Land O'Lakes,"$15,916.40 ",14.10%,$287.40 ,8.50%,"$9,560 ",-,-13,"9,000"
233,Cheniere Energy,"$15,864 ",69.50%,"($2,343)",-,"$39,258 ","$35,272.30 ",95,"1,550"
234,Southwest Airlines,"$15,790 ",74.50%,$977 ,-,"$36,320 ","$27,129.30 ",102,"55,093"
235,Adobe,"$15,785 ",22.70%,"$4,822 ",-8.30%,"$27,241 ","$215,280.50 ",-1,"25,988"
236,Synchrony Financial,"$15,752 ",-4.40%,"$4,221 ",204.80%,"$95,748 ","$18,145.50 ",-49,"18,000"
237,Corteva,"$15,655 ",10.10%,"$1,759 ",158.30%,"$42,344 ","$41,774.90 ",-23,"21,000"
238,Fidelity National Financial,"$15,643 ",45.10%,"$2,422 ",69.70%,"$60,690 ","$13,849.60 ",50,"28,290"
239,DTE Energy,"$15,369 ",26.20%,$907 ,-33.70%,"$39,719 ","$25,614.60 ",11,"10,300"
240,Murphy USA,"$15,318.80 ",61.20%,$396.90 ,2.80%,"$4,048.20 ","$4,888.60 ",82,"10,430"
241,Halliburton,"$15,295 ",5.90%,"$1,457 ",-,"$22,321 ","$34,028.90 ",-30,"40,000"
242,Automatic Data Processing,"$15,005.40 ",2.80%,"$2,598.50 ",5.40%,"$48,772.50 ","$95,577.10 ",-34,"56,000"
243,Edison International,"$14,905 ",9.80%,$759 ,2.70%,"$74,745 ","$26,693.80 ",-17,"13,003"
244,BorgWarner,"$14,838 ",46%,$537 ,7.40%,"$16,575 ","$9,335 ",51,"49,300"
245,Nordstrom,"$14,789 ",38%,$178 ,-,"$8,869 ","$4,321.30 ",44,"72,000"
246,Loews,"$14,657 ",16.50%,"$1,578 ",-,"$81,626 ","$15,971.30 ",-7,"10,340"
247,Guardian Life Ins. Co. of America,"$14,647.80 ",8%,$288.80 ,1128.50%,"$90,419.70 ",-,-20,"9,150"
248,Pioneer Natural Resources,"$14,643 ",119%,"$2,118 ",-,"$36,811 ","$60,728.30 ",180,"1,932"
249,AutoZone,"$14,629.60 ",15.80%,"$2,170.30 ",25.20%,"$14,516.20 ","$40,582.60 ",-11,"85,050"
250,Lam Research,"$14,626.20 ",45.60%,"$3,908.50 ",73.60%,"$15,892.20 ","$74,996.70 ",54,"14,100"
251,American Family Insurance Group,"$14,611.90 ",11.80%,$734.50 ,82.20%,"$36,316.40 ",-,-19,"13,590"
252,Illinois Tool Works,"$14,455 ",15%,"$2,694 ",27.70%,"$16,077 ","$65,311.90 ",-12,"45,000"
253,Parker-Hannifin,"$14,347.60 ",4.80%,"$1,746.10 ",44.70%,"$20,341.20 ","$36,456.80 ",-30,"54,640"
254,Otis Worldwide,"$14,298 ",12.10%,"$1,246 ",37.50%,"$12,279 ","$32,700.90 ",-18,"70,000"
255,Omnicom Group,"$14,289.40 ",8.50%,"$1,407.80 ",48.90%,"$28,421.80 ","$17,565.70 ",-26,"71,700"
256,Principal Financial,"$14,262.70 ",-3.20%,"$1,710.60 ",22.60%,"$304,657.20 ","$19,176.70 ",-50,"18,600"
257,Dominion Energy,"$14,218 ",-11.80%,"$3,288 ",-,"$99,590 ","$68,883 ",-64,"17,100"
258,Kellogg,"$14,181 ",3%,"$1,488 ",18.90%,"$18,178 ","$21,890.20 ",-36,"31,000"
259,Fluor,"$14,156.80 ",-10.90%,($440.20),-,"$7,279.60 ","$4,051.70 ",-63,"40,582"
260,AECOM,"$14,112.40 ",-13.90%,$173.20 ,-,"$11,734 ","$10,856.50 ",-71,"51,000"
261,Reliance Steel & Aluminum,"$14,093.30 ",59.90%,"$1,413 ",282.80%,"$9,536 ","$11,313.50 ",82,"13,950"
262,Jacobs Engineering Group,"$14,092.60 ",3.80%,$477 ,-3%,"$14,632.60 ","$17,807.40 ",-37,"53,500"
263,Corning,"$14,082 ",24.60%,"$1,906 ",272.30%,"$30,154 ","$31,212.80 ",14,"61,200"
264,Farmers Insurance Exchange,"$14,055 ",18.40%,($366.80),-,"$21,740.70 ",-,-8,"11,787"
265,Qurate Retail,"$14,044 ",-0.90%,$340 ,-71.80%,"$16,249 ","$1,807.40 ",-49,"26,745"
266,Pacific Life,"$13,936 ",38.50%,"$1,102 ",-,"$209,486 ",-,37,"3,861"
267,PulteGroup,"$13,926.90 ",26.20%,"$1,946.30 ",38.30%,"$13,352.60 ","$10,115.70 ",17,"6,182"
268,Fidelity National Information Services,"$13,877 ",10.60%,$417 ,163.90%,"$82,931 ","$61,215.10 ",-27,"65,000"
269,IQVIA Holdings,"$13,874 ",22.10%,$966 ,246.20%,"$24,689 ","$44,140.80 ",6,"79,000"
270,Marriott International,"$13,857 ",31.10%,"$1,099 ",-,"$25,553 ","$57,514.90 ",23,"120,000"
271,Berry Global Group,"$13,850 ",18.30%,$733 ,31.10%,"$17,882 ","$7,832.40 ",-10,"47,000"
272,Ball,"$13,811 ",17.20%,$878 ,50.10%,"$19,714 ","$28,909.10 ",-12,"24,300"
273,Group 1 Automotive,"$13,801.70 ",27.20%,$552.10 ,92.70%,"$5,749.40 ","$2,859.90 ",13,"13,711"
274,Leidos Holdings,"$13,737 ",11.70%,$753 ,19.90%,"$13,261 ","$14,727.70 ",-26,"43,000"
275,Wayfair,"$13,708 ",-3.10%,($131),-170.80%,"$4,570 ","$11,641.60 ",-58,"16,681"
276,Consolidated Edison,"$13,676 ",11.70%,"$1,346 ",22.30%,"$63,116 ","$33,525.30 ",-27,"13,871"
277,Ameriprise Financial,"$13,443 ",12.40%,"$2,760 ",79.90%,"$175,979 ","$33,213 ",-24,"12,000"
278,Xcel Energy,"$13,431 ",16.50%,"$1,597 ",8.40%,"$57,851 ","$39,275.90 ",-6,"11,321"
279,O'Reilly Automotive,"$13,327.60 ",14.80%,"$2,164.70 ",23.50%,"$11,718.70 ","$45,410.40 ",-11,"76,158"
280,Global Partners,"$13,248.30 ",59.20%,$60.80 ,-40.50%,"$2,831.20 ",$927.10 ,81,"2,960"
281,Discover Financial Services,"$13,221 ",2.10%,"$5,449 ",377.60%,"$110,242 ","$31,076.70 ",-48,"16,700"
282,Rocket Companies,"$13,175.60 ",-17.60%,$308.20 ,55.70%,"$32,774.90 ","$21,905.90 ",-88,"26,000"
283,LKQ,"$13,088.50 ",12.60%,"$1,090.90 ",70.90%,"$12,606.20 ","$12,941.40 ",-17,"46,000"
284,W.W. Grainger,"$13,022 ",10.40%,"$1,043 ",50.10%,"$6,592 ","$26,358 ",-26,"23,450"
285,Quanta Services,"$12,980.20 ",15.90%,$486 ,9.10%,"$12,855.20 ","$18,779.50 ",-7,"43,700"
286,Crown Holdings,"$12,979 ",12.10%,($560),-196.70%,"$13,858 ","$15,460.60 ",-17,"26,000"
287,Fox,"$12,909 ",4.90%,"$2,150 ",115.20%,"$22,926 ","$21,423.20 ",-40,"9,000"
288,Sempra,"$12,857 ",7.70%,"$1,317 ",-66.50%,"$72,045 ","$53,087.60 ",-33,"15,390"
289,Markel,"$12,846.40 ",32%,"$2,425 ",197.20%,"$48,448.90 ","$20,037.50 ",22,"20,300"
290,Carvana,"$12,814 ",129.40%,($135),-,"$7,015 ","$19,549.50 ",193,"21,000"
291,XPO Logistics,"$12,806 ",-21.20%,$336 ,205.50%,"$8,707 ","$8,356.90 ",-101,"44,700"
292,Baxter International,"$12,784 ",9.50%,"$1,284 ",16.50%,"$33,521 ","$39,017.90 ",-28,"60,000"
293,Ecolab,"$12,733.10 ",-0.10%,"$1,129.90 ",-,"$21,206.40 ","$50,548.40 ",-56,"47,000"
294,Tractor Supply,"$12,731.10 ",19.90%,$997.10 ,33.10%,"$7,767.50 ","$26,171.60 ",-3,"34,000"
295,Andersons,"$12,728.80 ",55.10%,$104 ,1248.70%,"$4,569.20 ","$1,708.20 ",71,"2,334"
296,Keurig Dr Pepper,"$12,683 ",9.20%,"$2,146 ",62%,"$50,598 ","$53,748.20 ",-29,"27,500"
297,Universal Health Services,"$12,642.10 ",9.40%,$991.60 ,5%,"$13,093.50 ","$10,843.10 ",-27,"78,850"
298,CSX,"$12,522 ",18.30%,"$3,781 ",36.70%,"$40,531 ","$81,587.80 ",-6,"20,919"
299,Henry Schein,"$12,401 ",22.60%,$631.20 ,56.30%,"$8,481.10 ","$11,960.10 ",-1,"21,600"
300,Sonic Automotive,"$12,396.40 ",26.90%,$348.90 ,-,"$4,975.10 ","$1,728.80 ",8,"10,200"
301,eBay,"$12,394 ",9.20%,"$13,608 ",140.10%,"$26,626 ","$33,641.90 ",-25,"10,800"
302,Textron,"$12,382 ",6.30%,$746 ,141.40%,"$15,827 ","$16,090.60 ",-37,"33,000"
303,Jones Financial (Edward Jones),"$12,373 ",21.70%,"$1,605 ",24.90%,"$32,208 ",-,-8,"50,000"
304,Community Health Systems,"$12,368 ",4.90%,$230 ,-55%,"$15,217 ","$1,598.60 ",-45,"58,500"
305,Mosaic,"$12,357.40 ",42.30%,"$1,630.60 ",144.80%,"$22,036.40 ","$24,492.60 ",41,"12,525"
306,Thor Industries,"$12,317.40 ",50.80%,$659.90 ,195.90%,"$6,654.10 ","$4,330.90 ",62,"31,000"
307,Dick's Sporting Goods,"$12,293.40 ",28.30%,"$1,519.90 ",186.60%,"$9,041.70 ","$7,986.60 ",13,"34,300"
308,Newmont,"$12,222 ",6.30%,"$1,166 ",-58.80%,"$40,564 ","$62,968.10 ",-35,"14,400"
309,Devon Energy,"$12,206 ",139.80%,"$2,813 ",-,"$21,025 ","$39,274.10 ",211,"1,600"
310,Warner Bros. Discovery,"$12,191 ",14.20%,"$1,006 ",-17.50%,"$34,427 ","$12,700.50 ",-20,"11,000"
311,J.B. Hunt Transport Services,"$12,168.30 ",26.30%,$760.80 ,50.30%,"$6,794.30 ","$21,052.90 ",4,"33,045"
312,Alcoa,"$12,152 ",30.90%,$429 ,-,"$15,025 ","$16,603.40 ",18,"12,200"
313,Peter Kiewit Sons',"$12,149 ",-2.50%,$753 ,-8.80%,"$6,238 ",-,-70,"28,800"
314,Aramark,"$12,096 ",-5.70%,($90.80),-,"$14,376.20 ","$9,655.50 ",-79,"248,300"
315,Vistra,"$12,077 ",5.50%,"($1,274)",-300.30%,"$29,683 ","$10,434.70 ",-41,"5,060"
316,State Street,"$12,030 ",-0.40%,"$2,693 ",11.30%,"$314,624 ","$31,891.80 ",-64,"38,784"
317,Unum Group,"$12,013.80 ",-8.70%,$824.20 ,3.90%,"$70,115.60 ","$6,382.80 ",-87,"10,200"
318,Alleghany,"$12,004.10 ",34.90%,"$1,034.90 ",917.10%,"$32,268.70 ","$11,396.10 ",21,"13,313"
319,Boston Scientific,"$11,888 ",19.90%,"$1,041 ",-,"$32,229 ","$63,310.20 ",-14,"41,000"
320,Westlake,"$11,778 ",57%,"$2,015 ",510.60%,"$18,459 ","$15,785.40 ",68,"14,550"
321,Entergy,"$11,742.90 ",16.10%,"$1,118.50 ",-19.40%,"$59,454.20 ","$23,760.40 ",-21,"12,369"
322,International Flavors & Fragrances,"$11,656 ",129.30%,$270 ,-25.70%,"$39,658 ","$33,455.60 ",200,"24,000"
323,DaVita,"$11,618.80 ",0.60%,$978.50 ,26.50%,"$17,121.50 ","$10,892.50 ",-52,"69,000"
324,Mutual of Omaha Insurance,"$11,459.30 ",3.30%,$579 ,-17.10%,"$49,852.70 ",-,-42,"5,739"
325,Assurant,"$11,410 ",13%,"$1,372.40 ",210.60%,"$33,911.50 ","$10,493.10 ",-23,"15,600"
326,Liberty Media,"$11,400 ",21.80%,$398 ,-,"$44,351 ","$15,239.10 ",-,"6,886"
327,Hormel Foods,"$11,386.20 ",18.50%,$908.80 ,0.10%,"$12,696.30 ","$28,089.20 ",-10,"20,000"
328,Icahn Enterprises,"$11,328 ",85%,($518),-,"$27,746 ","$15,237.10 ",125,"19,536"
329,Republic Services,"$11,295 ",11.20%,"$1,290.40 ",33.40%,"$24,955 ","$41,841.70 ",-32,"35,000"
330,Mohawk Industries,"$11,200.60 ",17.30%,"$1,033.20 ",100.40%,"$14,224.50 ","$8,081.80 ",-9,"43,000"
331,Conagra Brands,"$11,184.70 ",1.20%,"$1,298.80 ",54.60%,"$22,195.60 ","$16,103.50 ",-48,"18,600"
332,Norfolk Southern,"$11,142 ",13.80%,"$3,005 ",49.30%,"$38,493 ","$68,389.30 ",-25,"18,100"
333,AES,"$11,141 ",15.30%,($409),-989.10%,"$32,963 ","$17,172.10 ",-20,"8,450"
334,AGCO,"$11,138.30 ",21.70%,$897 ,110%,"$9,182.10 ","$10,885.30 ",-3,"23,300"
335,Caesars Entertainment,"$11,110 ",219.80%,"($1,019)",-,"$38,031 ","$16,564.60 ",340,"49,000"
336,Equitable Holdings,"$11,036 ",-11.10%,($439),-,"$292,262 ","$12,041.20 ",-92,"10,000"
337,Advance Auto Parts,"$10,998 ",8.80%,$616.10 ,25%,"$12,194.20 ","$12,644.80 ",-36,"54,500"
338,Biogen,"$10,981.70 ",-18.30%,"$1,556.10 ",-61.10%,"$23,877.30 ","$30,950.40 ",-110,"9,610"
339,Auto-Owners Insurance,"$10,980.20 ",24%,"$1,318.40 ",59%,"$32,487.10 ",-,2,"6,441"
340,Booking Holdings,"$10,958 ",61.20%,"$1,165 ",1874.60%,"$23,641 ","$96,022.70 ",84,"20,199"
341,Amphenol,"$10,876.30 ",26.50%,"$1,590.80 ",32.20%,"$14,678.40 ","$45,130.10 ",8,"90,000"
342,Quest Diagnostics,"$10,788 ",14.30%,"$1,995 ",39.40%,"$13,611 ","$16,348.60 ",-18,"44,500"
343,FirstEnergy,"$10,758 ",3.10%,"$1,283 ",18.90%,"$45,432 ","$26,181.60 ",-49,"12,395"
344,DCP Midstream,"$10,707 ",69.90%,$391 ,-,"$13,380 ","$6,993.20 ",98,"1,788"
345,Ally Financial,"$10,690 ",-0.80%,"$3,060 ",182%,"$182,114 ","$14,411.60 ",-58,"10,500"
346,Delek US Holdings,"$10,648.20 ",45.80%,($203.50),-,"$6,728 ","$1,500.20 ",51,"3,312"
347,Williams,"$10,627 ",37.70%,"$1,517 ",619%,"$47,612 ","$40,670.40 ",32,"4,783"
348,Newell Brands,"$10,589 ",12.80%,$572 ,-,"$14,179 ","$8,902.40 ",-23,"32,000"
349,Eastman Chemical,"$10,476 ",23.60%,$857 ,79.30%,"$15,519 ","$14,450.10 ",6,"14,000"
350,Air Products & Chemicals,"$10,323 ",16.60%,"$2,099.10 ",11.30%,"$26,859.20 ","$55,409.40 ",-10,"20,750"
351,Thrivent Financial for Lutherans,"$10,312.70 ",26.50%,"$2,530.20 ",297.20%,"$116,524.80 ",-,18,"3,256"
352,Molson Coors Beverage,"$10,279.70 ",6.50%,"$1,005.70 ",-,"$27,619 ","$11,631.80 ",-38,"16,300"
353,Interpublic Group,"$10,240.70 ",13%,$952.80 ,171.40%,"$19,909.20 ","$13,965.90 ",-19,"55,600"
354,Weyerhaeuser,"$10,201 ",35.40%,"$2,607 ",227.10%,"$17,652 ","$28,315 ",33,"9,214"
355,Altice USA,"$10,090.80 ",2%,$990.30 ,127%,"$33,215 ","$5,674.10 ",-49,"9,000"
356,Raymond James Financial,"$9,910 ",21.30%,"$1,403 ",71.50%,"$61,891 ","$22,817.50 ",11,"15,000"
357,EMCOR Group,"$9,903.60 ",12.60%,$383.50 ,188.50%,"$5,441.40 ","$5,931.80 ",-13,"34,000"
358,Eversource Energy,"$9,863.10 ",10.80%,"$1,220.50 ",1.30%,"$48,492.10 ","$30,403.20 ",-20,"9,227"
359,Yum China Holdings,"$9,853 ",19.20%,$990 ,26.30%,"$13,223 ","$17,679 ",4,"298,500"
360,Asbury Automotive Group,"$9,837.70 ",37.90%,$532.40 ,109.30%,"$8,002.60 ","$3,714.80 ",45,"14,200"
361,Owens & Minor,"$9,785.30 ",12.40%,$221.60 ,641.80%,"$3,536.60 ","$3,375.60 ",-16,"17,300"
362,Public Service Enterprise Group,"$9,722 ",1.20%,($648),-134%,"$48,999 ","$35,145.50 ",-44,"12,684"
363,United Rentals,"$9,716 ",13.90%,"$1,386 ",55.70%,"$20,292 ","$25,643.30 ",-11,"20,400"
364,MGM Resorts International,"$9,680.10 ",87.50%,"$1,254.40 ",-,"$40,899.10 ","$18,257.90 ",153,"60,500"
365,Ryder System,"$9,663 ",14.80%,$519 ,-,"$13,834.30 ","$4,055.40 ",-8,"42,800"
366,Intuit,"$9,633 ",25.40%,"$2,062 ",12.90%,"$15,516 ","$135,987.60 ",14,"17,350"
367,Cincinnati Financial,"$9,629.70 ",27.80%,"$2,945.60 ",142.20%,"$31,386.70 ","$21,813.30 ",19,"5,166"
368,Erie Insurance Group,"$9,619.70 ",11%,"$1,130.10 ",-3.70%,"$27,297.30 ",-,-21,"5,805"
369,Univar Solutions,"$9,535.50 ",15.40%,$460.60 ,770.70%,"$6,777.80 ","$5,459.80 ",-7,"9,450"
370,Huntington Ingalls Industries,"$9,524 ",1.70%,$544 ,-21.80%,"$10,627 ","$7,991 ",-43,"44,000"
371,W.R. Berkley,"$9,455.50 ",16.70%,"$1,022.50 ",92.70%,"$32,086.40 ","$17,658.80 ",1,"7,681"
372,Western & Southern Financial Group,"$9,441.70 ",17.20%,$361.20 ,76.70%,"$62,876.70 ",-,2,"2,538"
373,Insight Enterprises,"$9,436.10 ",13.10%,$219.30 ,27.10%,"$4,689.10 ","$3,745.10 ",-13,"11,624"
374,News Corp.,"$9,358 ",3.90%,$330 ,-,"$16,771 ","$13,127.70 ",-37,"24,000"
375,American Tower,"$9,356.90 ",16.40%,"$2,567.70 ",51.90%,"$69,887.90 ","$114,527.40 ",-,"6,378"
376,Old Republic International,"$9,341.60 ",30.40%,"$1,534.30 ",174.70%,"$24,981.80 ","$7,972.80 ",25,"9,600"
377,Burlington Stores,"$9,322.30 ",61.70%,$408.80 ,-,"$7,089.50 ","$12,112.80 ",94,"38,599"
378,Avis Budget Group,"$9,313 ",72.40%,"$1,285 ",-,"$22,600 ","$14,157 ",120,"18,500"
379,ODP,"$9,267 ",-4.60%,($208),-,"$4,865 ","$2,222.20 ",-67,"26,000"
380,VF,"$9,238.80 ",-21%,$407.90 ,-40%,"$13,754 ","$22,112.90 ",-117,"33,600"
381,Bed Bath & Beyond,"$9,233 ",-17.30%,($150.80),-,"$6,456.90 ","$2,170.50 ",-101,"37,600"
382,Seaboard,"$9,229 ",29.50%,$570 ,101.40%,"$7,503 ","$4,881.60 ",24,"13,200"
383,First American Financial,"$9,221 ",30.10%,"$1,241 ",78.20%,"$16,451 ","$7,087.20 ",26,"22,233"
384,Intercontinental Exchange,"$9,168 ",11.20%,"$4,058 ",94.30%,"$193,502 ","$74,044.80 ",-19,"8,858"
385,PVH,"$9,154.70 ",28.40%,$952.30 ,-,"$12,396.80 ","$5,210 ",19,"25,000"
386,Apollo Global Management,"$9,124 ",332.20%,"$1,838.50 ",1073.90%,"$30,501.90 ","$37,194 ",552,"2,153"
387,Jefferies Financial Group,"$9,039.90 ",30%,"$1,674.40 ",116%,"$60,404.10 ","$7,933.90 ",32,"5,556"
388,Hershey,"$8,971.30 ",10.10%,"$1,477.50 ",15.50%,"$10,412.20 ","$44,461.50 ",-18,"17,805"
389,NVR,"$8,970.10 ",18.60%,"$1,236.70 ",37.20%,"$5,834.50 ","$15,010.50 ",-6,"6,600"
390,Foot Locker,"$8,958 ",18.70%,$893 ,176.50%,"$8,135 ","$2,850 ",-5,"33,244"
391,Dana,"$8,945 ",25.90%,$197 ,-,"$7,632 ","$2,544.40 ",17,"40,200"
392,SpartanNash,"$8,931 ",-4.50%,$73.80 ,-2.80%,"$2,206.80 ","$1,185.10 ",-63,"13,300"
393,Olin,"$8,910.60 ",54.80%,"$1,296.70 ",-,"$8,517.70 ","$8,062 ",79,"7,750"
394,Chewy,"$8,890.80 ",24.40%,($73.80),-,"$2,086.30 ","$17,147.30 ",9,"21,300"
395,Jackson Financial,"$8,848 ",-,"$3,183 ",-,"$375,484 ","$3,895.10 ",-,"3,150"
396,Activision Blizzard,"$8,803 ",8.90%,"$2,699 ",22.80%,"$25,056 ","$62,559.70 ",-23,"9,800"
397,Toll Brothers,"$8,790.40 ",24.20%,$833.60 ,86.70%,"$11,537.90 ","$5,515.40 ",14,"5,100"
398,Carlyle Group,"$8,782.10 ",199.30%,"$2,974.70 ",754.30%,"$21,250.40 ","$17,427.50 ",360,"1,850"
399,Graybar Electric,"$8,767.30 ",20.70%,$262.40 ,115.40%,"$3,069 ",-,-,"8,800"
400,Ovintiv,"$8,658 ",42.20%,"$1,416 ",-,"$14,055 ","$13,987.50 ",58,"1,713"
401,UFP Industries,"$8,636.10 ",67.60%,$535.60 ,117.10%,"$3,245.30 ","$4,790.50 ",117,"15,000"
402,Ulta Beauty,"$8,630.90 ",40.30%,$985.80 ,460.70%,"$4,764.40 ","$20,837.80 ",49,"28,500"
403,Constellation Brands,"$8,614.90 ",3.30%,"$1,998 ",-,"$27,104.80 ","$43,763.50 ",-44,"9,300"
404,Expedia Group,"$8,598 ",65.40%,$12 ,-,"$21,548 ","$30,476.50 ",111,"14,800"
405,CommScope Holding,"$8,586.70 ",1.80%,($462.60),-,"$13,259.50 ","$1,629.70 ",-49,"30,000"
406,Celanese,"$8,537 ",51%,"$1,890 ",-4.80%,"$11,975 ","$15,434.10 ",71,"8,529"
407,Global Payments,"$8,523.80 ",14.80%,$965.50 ,65.20%,"$45,279.70 ","$38,545.60 ",-13,"25,000"
408,Owens Corning,"$8,498 ",20.50%,$995 ,-,"$10,015 ","$9,064.70 ",5,"20,000"
409,Campbell Soup,"$8,476 ",-6.30%,"$1,002 ",-38.50%,"$11,734 ","$13,446.90 ",-74,"14,100"
410,Huntsman,"$8,453 ",40.30%,"$1,045 ",1.10%,"$9,392 ","$8,046.90 ",50,"9,000"
411,Franklin Resources,"$8,425.50 ",51.40%,"$1,831.20 ",129.20%,"$24,168.40 ","$14,019.30 ",73,"10,300"
412,Avery Dennison,"$8,408.30 ",20.60%,$740.10 ,33.10%,"$7,971.60 ","$14,327.40 ",5,"36,000"
413,Masco,"$8,375 ",14.90%,$410 ,-66.50%,"$5,575 ","$12,062.70 ",-15,"20,000"
414,CenterPoint Energy,"$8,352 ",-5.50%,"$1,486 ",-,"$37,679 ","$19,285.80 ",-72,"9,418"
415,Fifth Third Bancorp,"$8,329 ",-0.90%,"$2,770 ",94.10%,"$211,116 ","$29,511.30 ",-57,"19,112"
416,WEC Energy Group,"$8,316 ",14.80%,"$1,300.30 ",8.40%,"$38,988.50 ","$31,483.50 ",-16,"6,938"
417,S&P Global,"$8,297 ",11.50%,"$3,024 ",29.30%,"$15,026 ","$142,343.50 ",-24,"22,850"
418,FM Global,"$8,274.60 ",21.70%,"$2,842.40 ",64.10%,"$32,160.50 ",-,5,"5,560"
419,Polaris,"$8,252 ",16.10%,$493.90 ,295.80%,"$5,047.80 ","$6,264.10 ",-12,"16,000"
420,Williams-Sonoma,"$8,245.90 ",21.60%,"$1,126.30 ",65.50%,"$4,625.60 ","$10,376 ",5,"16,600"
421,Autoliv,"$8,230 ",10.50%,$435 ,132.70%,"$7,537 ","$6,691.10 ",-29,"58,176"
422,Arthur J. Gallagher,"$8,209.40 ",17.20%,$906.80 ,10.70%,"$33,345 ","$36,598.60 ",-6,"39,000"
423,Motorola Solutions,"$8,171 ",10.20%,"$1,245 ",31.20%,"$12,189 ","$40,555.90 ",-28,"18,700"
424,Zillow Group,"$8,147.40 ",143.90%,($527.80),-,"$10,695.50 ","$12,287.10 ",268,"8,005"
425,Opendoor Technologies,"$8,021 ",210.50%,($662),-,"$9,506 ","$5,364.10 ",394,"2,816"
426,J.M. Smucker,"$8,002.70 ",2.60%,$876.30 ,12.40%,"$16,284.20 ","$14,686.40 ",-48,"7,100"
427,Anywhere Real Estate,"$7,983 ",28.30%,$343 ,-,"$7,210 ","$1,852.10 ",18,"9,748"
428,Oshkosh,"$7,952.50 ",16%,$409.40 ,26.20%,"$6,721.80 ","$6,703.70 ",-6,"15,000"
429,MasTec,"$7,951.80 ",25.80%,$328.80 ,1.90%,"$7,121.40 ","$6,657 ",12,"27,000"
430,GXO Logistics,"$7,940 ",-,$153 ,-,"$7,271 ","$8,193 ",-,"97,500"
431,APA,"$7,928 ",84%,$973 ,-,"$13,303 ","$14,332.30 ",164,"2,253"
432,Boise Cascade,"$7,926.10 ",44.80%,$712.50 ,307.20%,"$2,572.60 ","$2,740.40 ",61,"6,130"
433,Dover,"$7,907.10 ",18.30%,"$1,123.80 ",64.40%,"$10,403.60 ","$22,610.30 ",-4,"25,000"
434,Genworth Financial,"$7,882 ",-9%,$904 ,407.90%,"$99,171 ","$1,917.90 ",-86,"2,500"
435,Bath & Body Works,"$7,881.50 ",-33.50%,"$1,333.50 ",57.90%,"$6,026 ","$11,419.90 ",-178,"32,850"
436,Booz Allen Hamilton Holding,"$7,858.90 ",5.30%,$609 ,26.20%,"$5,499.60 ","$11,705.40 ",-45,"27,700"
437,Coinbase Global,"$7,839.40 ",513.70%,"$3,624.10 ",1024.40%,"$21,274.40 ","$41,670.40 ",-,"3,730"
438,Zimmer Biomet Holdings,"$7,836.20 ",11.60%,$401.60 ,-,"$23,456.40 ","$26,772.30 ",-24,"19,500"
439,Westinghouse Air Brake Technologies,"$7,822 ",3.50%,$558 ,34.70%,"$18,454 ","$17,819.40 ",-55,"25,000"
440,Zoetis,"$7,776 ",16.50%,"$2,037 ",24.40%,"$13,900 ","$89,008.90 ",-9,"12,100"
441,Packaging Corp. of America,"$7,730.30 ",16.10%,$841.10 ,82.50%,"$7,836.80 ","$14,628.10 ",-8,"15,200"
442,LPL Financial Holdings,"$7,720.80 ",31.50%,$459.90 ,-2.70%,"$7,991.60 ","$14,608.80 ",24,"5,919"
443,T. Rowe Price,"$7,671.90 ",23.60%,"$3,082.90 ",29.90%,"$12,509 ","$34,442.60 ",4,"7,529"
444,Fortune Brands Home & Security,"$7,656.10 ",25.70%,$772.40 ,39.60%,"$7,936.20 ","$9,830.70 ",12,"28,056"
445,Casey's General Stores,"$7,654.20 ",-5.60%,$312.90 ,18.60%,"$4,460.30 ","$7,354.40 ",-74,"27,583"
446,A-Mark Precious Metals,"$7,613 ",39.40%,$159.60 ,423.20%,"$1,191.60 ",$890.50 ,49,347
447,Hess,"$7,583 ",57.80%,$559 ,-,"$20,515 ","$33,155.20 ",96,"1,545"
448,Vertex Pharmaceuticals,"$7,574.40 ",22.10%,"$2,342.10 ",-13.60%,"$13,432.50 ","$66,436.90 ",-,"3,900"
449,KeyCorp,"$7,561 ",3.10%,"$2,625 ",95.50%,"$186,346 ","$20,592.50 ",-53,"16,974"
450,Chipotle Mexican Grill,"$7,547.10 ",26.10%,$653 ,83.50%,"$6,653 ","$44,347.40 ",14,"97,660"
